id,twitter_id,handles,degree_range,snapshot_range
174,4075421584,"MTZELEPIS, mtzelepis",1074-1647,"1-48"
175,202140100,"Kouti_Pandoras",137951-187007,"1-48"
176,836409865,"KokkinosOuranos, kokkinosouranos",684-1560,"1-48"
177,331032006,"EleniAvlonitou",1786-3352,"1-48"
178,294027922,"giwrgosliagas, GiwrgosLiagas",285743-290158,"1-5"
179,3431314378,"papatheodorou_t",1800-2338,"1-48"
180,87170286,"philenewscy",18360-27157,"1-48"
181,349090550,"syrmal2000",1822-2319,"1-48"
182,111268590,"PRINgr",7490-10125,"1-48"
183,3354141345,"PappasXA",3506-5422,"1-29"
184,268283495,"paraskhnio",16969-18475,"1-48"
185,849197652533288965,"Michelis_Athan",254-636,"1-36"
186,393292109,"TheoKaraoglou",6447-9194,"1-48"
187,84853888,"cstaikouras",22612-44305,"1-48"
188,421074044,"mettatsikrika, MettaTsikrika",195-210,"1-48"
189,225931853,"a_loverdos",43089-74691,"1-48"
190,806736306,"YDragasakis",44002-50381,"1-48"
191,852566696,"savanastasiadis",767-1912,"1-48"
192,630204267,"GermenisGiorgos",3263-3872,"1-34"
193,2662790664,"tr_alexandros",1472-7130,"1-48"
194,720238842,"PRESSGR_BLOG",8989-9627,"1-48"
195,782027876,"gpantzas",2399-2716,"1-48"
196,98872288,"capitalgr",40297-86957,"1-48"
197,546281641,"GeorgiaMartinou",326-410,"1-48"
198,239685876,"triklopodia_gr",4411-4604,"1-48"
199,437388094,"manoskonsolas",2364-3954,"1-48"
200,798866000393412608,"R3Jg3EsgrBewHc9",20-29,"1-48"
201,112640564,"msarafoglou",16475-18615,"1-48"
202,219987597,"secretrealtruth, SECRETREALTRUTH",2313-2494,"1-48"
203,1012051070,"FonaklasGr, fonaklasgr",1413-1460,"1-48"
204,3656681537,"ypaithros",857-2287,"1-48"
205,54283324,"Vkikilias",26367-82041,"1-48"
206,2513609557,"powernewsgreece",1802-1877,"1-22"
207,3165910877,"PressPublica",1023-1375,"1-44"
208,2972005762,"efgeorgopoulou",764-1166,"1-48"
209,258729654,"iefimerida",90263-155631,"1-48"
210,17389650,"skaigr",578000-680461,"1-48"
211,152426795,"pentapostagma",5456-7862,"1-48"
212,3064827747,"VroutsisGiannis, vroutsisgiannis",14363-29775,"1-48"
213,15334638,"olympiada",8548-8995,"1-48"
214,335179820,"SalmasMarios, salmasmarios",1124-1308,"1-48"
215,404193258,"Sofia_voultepsi, sofia_voultepsi",684-1060,"1-48"
216,327267369,"NChatzinikolaou, nchatzinikolaou",626904-645361,"1-48"
217,307831651,"lygerosstavros",18983-21847,"1-48"
218,1902564792,"pkonstantineas7",906-4011,"1-48"
219,1001342479,"A_Meikopoulos",540-1312,"1-48"
220,18934391,"naftemporikigr",161941-200885,"1-48"
221,857742336,"XA_KILKIS, xa_kilkis",1347-2037,"1-29, 31-36"
222,353308223,"XRHSTOSFRIK, xrhstosfrik",769-824,"1-48"
223,2991886211,"fortsakis",3971-6909,"1-48"
224,2976349222,"athbouras",470-727,"1-48"
225,1728198787,"ybalafas",6538-12395,"1-48"
226,711936107601137665,"TsironisGianni",1692-3689,"1-48"
227,70973903,"Elena_Rapti",11048-15457,"1-48"
228,1354500241,"SKaratzaferis, skaratzaferis",127-135,"1-48"
229,2689376012,"serresbomb",5-7,"1-48"
