Algorithm,Dimensions,resolution,# of clusters,Duration,Accuracy,F1-micro,F1-macro,MutualInformation,NormalizedMutualInformation,Modularity,Performance,Coverage
Louvain,-,0.96,4,4 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.961,4,4 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.962,4,4 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.963,4,4 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.964,4,4 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.965,4,4 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.966,4,4 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.967,4,4 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.968,4,4 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.969,4,4 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,0.97,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.971,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.972,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.973,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.974,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.975,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.976,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.977,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.978,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.979,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.98,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.981,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.982,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.983,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.984,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.985,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.986,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.987,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.988,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.989,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.99,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.991,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.992,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.993,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.994,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.995,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.996,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.997,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.998,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,0.999,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.0,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.001,4,4 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.002,4,5 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.003,4,7 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.004,4,7 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.005,4,6 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.006,4,7 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.007,4,7 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.008,4,6 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.009,4,6 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.01,4,5 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.011,4,5 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.012,4,5 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.013,4,6 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.014,4,6 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.015,4,6 sec,0.9669,0.9669,0.7784,1.008,0.9286,0.1518,0.4228,0.4191
Louvain,-,1.016,4,5 sec,0.9669,0.9669,0.7784,1.008,0.9286,0.1518,0.4228,0.4191
Louvain,-,1.017,4,5 sec,0.9669,0.9669,0.7784,1.008,0.9286,0.1518,0.4228,0.4191
Louvain,-,1.018,4,5 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.019,4,5 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.02,4,6 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.021,4,6 sec,0.9669,0.9669,0.7784,1.008,0.9286,0.1518,0.4228,0.4191
Louvain,-,1.022,4,6 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.023,4,5 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.024,4,6 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.025,4,6 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.026,4,6 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.027,4,5 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.028,4,5 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.029,4,6 sec,0.9669,0.9669,0.778,1.0088,0.9289,0.1518,0.4224,0.4187
Louvain,-,1.03,4,5 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.031,4,5 sec,0.9669,0.9669,0.7772,1.0103,0.9297,0.1518,0.4217,0.4179
Louvain,-,1.032,4,6 sec,0.9669,0.9669,0.7764,1.0118,0.9304,0.1518,0.421,0.4172
Louvain,-,1.033,4,5 sec,0.9669,0.9669,0.7764,1.0118,0.9304,0.1518,0.421,0.4172
Louvain,-,1.034,4,5 sec,0.9669,0.9669,0.7764,1.0118,0.9304,0.1518,0.421,0.4172
Louvain,-,1.035,4,6 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.036,4,6 sec,0.9669,0.9669,0.7764,1.0118,0.9304,0.1518,0.421,0.4172
Louvain,-,1.037,4,5 sec,0.9669,0.9669,0.7764,1.0118,0.9304,0.1518,0.421,0.4172
Louvain,-,1.038,4,7 sec,0.9669,0.9669,0.7764,1.0118,0.9304,0.1518,0.421,0.4172
Louvain,-,1.039,4,7 sec,0.9669,0.9669,0.7764,1.0118,0.9304,0.1518,0.421,0.4172
Louvain,-,1.04,4,6 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.041,4,6 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.042,4,6 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.043,4,5 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.044,4,7 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.045,4,5 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.046,4,5 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.047,4,5 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.048,4,5 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.049,4,5 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
